SerialNumber   Deviation

1              -52.320007
2              -86.289993
3              -87.990005
4              21.589996
5              158.490005
6              -49.029999
7              38.110001
8              -63.709991
9              -32.320007
10             48.180000
11             -49.869995
12             -51.340012
13             -28.440002
14             -20.140007
15             55.539993
16             -89.249992
17             100.310013
18             48.869995
19             5.560005
20             -68.650009
21             -43.330002
22             -27.789993
23             96.360008
24             -40.639999
25             151.210007
26             -34.540001
27             71.099998
28             -114.150002
29             -92.840004
30             61.959991
31             42.930008
32             0.690002
33             144.399994
34             -30.470001
35             16.510002
36             173.080002
37             137.529999
38             97.040009
39             -69.890007
40             -117.619995
41             44.449997
42             95.810005
43             -74.270004
44             -121.340004
45             -74.370010
46             107.160004
47             64.500000
48             -71.190002
49             149.550003
50             44.579994
51             38.389999
52             58.219994
53             -0.610001
54             -43.790001
55             1.459991
56             60.069992
57             -97.189995
58             128.770004
59             17.559998
60             -33.010002
61             60.180000
62             -62.760010
63             -7.169998
64             85.169998
65             28.080002
66             -153.279999
67             69.599991
68             -36.800003
69             11.770004
70             100.900002
71             -135.820007
72             97.470001
73             7.989998
74             2.720001
75             80.369995
76             5.889999
77             38.679993
78             147.819992
79             -26.619995
80             87.950005
81             5.739990
82             -29.389999
83             85.890007
84             -0.279999
85             169.979996
86             44.610001
87             -136.830002
88             -33.570004
89             63.959995
90             3.690002
91             15.970001
92             77.449997
93             124.070000
94             135.990005
95             -20.809998
96             -88.389999
97             146.100006
98             22.160000
99             79.669998
100            151.419998
